   1  |    1   1   1   1   1   1   1
   2  |    1   1   1   2   2   2   2
   3  |    1   1   2   1   2   1   2
   4  |    1   1   2   2   1   2   1
   5  |    1   2   1   1   2   2   1
   6  |    1   2   1   2   1   1   2
   7  |    1   2   2   1   1   2   2
   8  |    1   2   2   2   2   1   1
   9  |    2   1   1   1   2   1   1
  10  |    2   1   1   2   1   2   2
  11  |    2   1   2   1   1   1   2
  12  |    2   1   2   2   2   2   1
  13  |    2   2   1   1   1   2   1
  14  |    2   2   1   2   2   1   2
  15  |    2   2   2   1   2   2   2
  16  |    2   2   2   2   1   1   1
  17  |    1   1   1   2   2   1   1
  18  |    1   2   2   1   1   1   1
  19  |    2   1   1   2   1   1   1
  20  |    2   2   2   1   2   1   1
  21  |    -   1   2   2   -   1   2
  22  |    -   2   1   1   -   1   2
  23  |    1   1   1   1   1   2   2
  24  |    1   2   2   2   2   2   2
  25  |    2   1   1   1   2   2   2
  26  |    2   2   2   2   1   2   2
  27  |    -   1   2   1   -   2   1
  28  |    -   2   1   2   -   2   1
  29  |    -   1   1   -   -   2   1
  30  |    -   1   2   -   -   1   1
  31  |    -   2   1   -   -   1   1
  32  |    -   2   2   -   -   2   1
  33  |    -   1   1   -   -   1   2
  34  |    -   1   2   -   -   2   2
  35  |    -   2   1   -   -   2   2
  36  |    -   2   2   -   -   1   2
