   1  |    1   1   1   1   1   1   1   1   1   1   1   1   1   1
   2  |    1   1   2   2   2   2   2   2   2   2   2   2   2   2
   3  |    1   2   1   2   1   2   1   2   1   2   1   2   1   2
   4  |    1   2   2   1   2   1   2   1   2   1   2   1   2   1
   5  |    2   1   1   2   2   1   1   2   2   1   1   2   2   1
   6  |    2   1   2   1   1   2   2   1   1   2   2   1   1   2
   7  |    2   2   1   1   2   2   1   1   2   2   2   2   1   1
   8  |    2   2   2   2   1   1   2   2   1   1   1   1   2   2
   9  |    1   1   2   2   1   1   1   1   2   2   1   1   2   2
  10  |    2   2   1   1   1   1   2   2   2   2   2   2   1   1
  11  |    1   1   1   1   2   2   2   2   1   1   1   1   2   2
  12  |    2   2   2   2   2   2   1   1   1   1   2   2   1   1
  13  |    1   1   2   1   2   2   1   2   1   2   1   2   1   1
  14  |    2   2   1   1   1   1   1   1   1   1   2   1   2   2
  15  |    1   1   1   2   1   1   2   1   1   2   2   2   1   1
  16  |    2   2   2   2   2   2   2   2   2   2   1   1   1   1
  17  |    1   1   1   1   2   2   2   1   2   1   1   2   1   2
  18  |    1   1   2   2   1   1   1   2   1   1   2   1   1   1
  19  |    2   2   1   1   2   1   1   1   1   2   1   1   2   2
  20  |    2   2   2   1   1   2   -   1   2   1   -   2   2   1
  21  |    -   -   1   2   -   2   1   -   2   2   -   1   2   1
  22  |    2   2   2   -   2   1   -   -   2   -   -   2   1   2
  23  |    -   -   -   -   -   -   -   -   1   -   -   2   2   1
