   1  |    1   1   1   1   1   1   1   1   1   1   1   1
   2  |    1   1   2   2   2   2   2   2   2   2   2   2
   3  |    1   2   1   2   1   2   1   2   1   2   1   2
   4  |    1   2   2   1   2   1   2   1   2   1   2   1
   5  |    2   1   1   2   2   1   1   2   2   1   1   2
   6  |    2   1   2   1   1   2   2   1   1   2   2   1
   7  |    2   2   1   1   2   2   1   1   2   2   2   2
   8  |    2   2   2   2   1   1   2   2   1   1   1   1
   9  |    1   1   2   2   1   1   1   1   2   2   1   1
  10  |    2   2   1   1   1   1   2   2   2   2   2   2
  11  |    1   1   1   1   2   2   2   2   1   1   1   1
  12  |    2   2   2   2   2   2   1   1   1   1   2   2
  13  |    1   1   2   1   2   2   1   2   1   2   1   2
  14  |    2   2   1   1   1   1   1   1   1   1   2   1
  15  |    1   1   1   2   1   1   2   1   1   2   2   2
  16  |    2   2   2   2   2   2   2   2   2   2   1   1
  17  |    1   1   1   1   2   2   2   1   2   1   1   2
  18  |    1   1   2   2   1   1   1   2   1   1   2   1
  19  |    2   2   1   1   2   1   1   1   1   2   1   1
  20  |    -   -   2   -   1   2   -   -   2   1   -   2
  21  |    -   -   1   2   -   2   1   -   2   -   -   1
  22  |    -   -   2   -   -   1   -   -   -   -   -   2
