1  |    1   1   1   1   1   1   1   1   1   1   1
   2  |    1   2   2   2   2   2   2   2   2   2   2
   3  |    1   3   3   1   3   3   3   3   3   3   3
   4  |    2   1   2   1   4   2   3   4   1   2   3
   5  |    2   2   1   2   5   3   1   5   3   1   2
   6  |    2   3   1   2   6   1   2   6   2   3   1
   7  |    3   1   3   2   7   1   2   7   1   1   2
   8  |    3   2   1   1   8   2   3   8   2   1   3
   9  |    3   3   2   2   1   3   1   4   2   2   1
  10  |    2   2   3   2   1   2   1   3   1   3   1
  11  |    2   1   1   1   2   3   2   2   3   3   1
  12  |    3   3   3   2   2   1   3   1   3   2   3
  13  |    2   1   1   2   3   1   1   8   1   2   1
  14  |    3   2   2   -   3   1   2   5   2   3   2
  15  |    1   2   1   2   4   1   1   7   2   3   1
  16  |    3   3   3   -   4   2   2   2   1   1   2
  17  |    1   1   2   1   5   1   2   3   2   1   2
  18  |    3   3   3   -   5   2   3   6   1   2   1
  19  |    1   1   2   1   6   2   1   5   3   2   3
  20  |    3   2   3   -   6   3   3   1   1   1   2
  21  |    1   2   1   1   7   2   1   6   3   1   3
  22  |    2   3   2   1   7   3   3   7   2   2   1
  23  |    1   1   2   2   8   1   1   2   1   2   1
  24  |    2   3   3   -   8   3   2   8   3   3   2
  25  |    2   -   2   -   3   2   -   1   2   1   -
  26  |    -   1   2   -   4   3   -   6   3   -   2
  27  |    3   -   1   -   2   -   1   3   1   1   -
  28  |    -   -   -   -   1   -   2   1   3   3   3
  29  |    -   -   -   -   1   -   3   2   -   -   2
  30  |    -   -   -   -   4   -   -   1   -   -   -
  31  |    -   -   -   -   5   -   -   1   -   3   3
  32  |    -   -   -   -   7   -   -   1   -   3   -
  33  |    -   -   -   -   8   -   -   1   -   -   -
  34  |    -   -   -   -   3   -   -   2   -   -   3
  35  |    -   -   -   -   5   -   -   2   -   -   -
  36  |    -   -   -   -   6   -   -   2   -   -   -
  37  |    -   -   -   -   7   -   -   2   -   -   -
  38  |    -   -   -   -   4   -   -   3   -   2   -
  39  |    -   -   -   -   6   -   -   3   -   -   -
  40  |    -   -   -   -   7   -   -   3   -   -   -
  41  |    -   -   -   -   8   -   -   3   -   -   -
  42  |    1   2   1   -   2   1   2   4   3   1   2
  43  |    -   -   3   -   3   -   -   4   2   3   -
  44  |    -   -   -   -   5   -   -   4   -   -   -
  45  |    -   -   -   -   6   -   -   4   -   -   -
  46  |    -   -   -   -   7   -   -   4   -   -   -
  47  |    -   -   -   -   8   -   -   4   -   -   -
  48  |    -   3   3   -   1   -   3   5   1   -   1
  49  |    -   -   -   -   2   -   -   5   -   -   -
  50  |    -   -   -   -   4   -   -   5   -   -   -
  51  |    -   -   -   -   7   -   -   5   -   -   -
  52  |    -   -   -   -   8   -   -   5   -   -   -
  53  |    -   -   -   -   1   -   -   6   -   -   -
  54  |    -   -   -   -   2   -   -   6   -   -   -
  55  |    -   -   -   -   3   -   -   6   -   -   -
  56  |    -   -   -   -   8   -   -   6   -   -   -
  57  |    -   -   -   -   1   2   -   7   3   -   3
  58  |    -   -   -   -   2   -   -   7   -   -   -
  59  |    -   -   -   -   3   -   -   7   -   -   -
  60  |    -   -   -   -   5   -   -   7   -   -   -
  61  |    -   -   -   -   6   -   -   7   -   -   -
  62  |    -   -   -   -   8   -   -   7   -   -   -
  63  |    1   -   2   -   1   -   -   8   -   -   -
  64  |    -   -   -   -   2   -   -   8   -   -   -
  65  |    -   -   -   -   4   -   -   8   -   -   -
  66  |    -   -   -   -   5   -   -   8   -   -   -
  67  |    -   -   -   -   6   -   -   8   -   -   -
  68  |    -   -   -   -   7   -   -   8   -   -   -
